fold,rat,frame,image_miou,iou_background,iou_head,iou_body,iou_tail,csv_path
5,Rat21,140,0.7108406565615951,0.9929847254324025,0.9149846423870118,0.9353932584269663,0.0,data_full\Rat21\CSV\Thermal_140_CSV.csv
3,Rat18,98,0.71114648127927,0.9746110351454229,0.9395938963149851,0.9303809936566723,0.0,data_full\Rat18\CSV\Thermal_98_CSV.csv
5,Rat21,141,0.7111734492701265,0.9926806593485179,0.9069142014400972,0.9450989362918907,0.0,data_full\Rat21\CSV\Thermal_141_CSV.csv
3,Rat22,12,0.711323710440547,0.9915465428780845,0.9066458299062345,0.9471024689778688,0.0,data_full\Rat22\CSV\Thermal_12_CSV.csv
5,Rat20,90,0.7114571457364379,0.9816254947601016,0.7741343126967472,0.8994353320785158,0.19063344341038727,data_full\Rat20\CSV\Thermal_90_CSV.csv
5,Rat20,107,0.7116045324672371,0.9904758928362151,0.900876270592359,0.955065966440374,0.0,data_full\Rat20\CSV\Thermal_107_CSV.csv
3,Rat22,17,0.7125525414051885,0.9834568882159375,0.9314271093200281,0.9353261680847887,0.0,data_full\Rat22\CSV\Thermal_17_CSV.csv
3,Rat22,118,0.7125998572670547,0.9937564462920534,0.9203663934785467,0.9362765892976184,0.0,data_full\Rat22\CSV\Thermal_118_CSV.csv
5,Rat20,29,0.7135229725729564,0.9772887639777552,0.9230822486845749,0.9537208776294956,0.0,data_full\Rat20\CSV\Thermal_29_CSV.csv
1,Rat16,22,0.7145231483454758,0.9805911578341013,0.8091809180918091,0.942139305671668,0.12618121178432462,data_full\Rat16\CSV\Thermal_22_CSV.csv
2,Rat24,122,0.7149399002521338,0.9849473397348552,0.914458786231884,0.960353475041796,0.0,data_full\Rat24\CSV\Thermal_122_CSV.csv
2,Rat24,125,0.7155133307294059,0.9708182925190999,0.8362051414928467,0.6857223405588272,0.36930754834684965,data_full\Rat24\CSV\Thermal_125_CSV.csv
4,Rat23,50,0.7163466613409335,0.979075995362568,0.8749741254398675,0.9038773171020908,0.10745920745920746,data_full\Rat23\CSV\Thermal_50_CSV.csv
5,Rat21,142,0.7166108132680366,0.9922099279623903,0.9311304660141869,0.943102859095569,0.0,data_full\Rat21\CSV\Thermal_142_CSV.csv
1,Rat25,103,0.7166116218528209,0.9766505218029832,0.8890954828830799,0.8850089933635179,0.11569148936170212,data_full\Rat25\CSV\Thermal_103_CSV.csv
5,Rat20,108,0.7166434902186494,0.9731640325993967,0.9168693345124918,0.976540593762709,0.0,data_full\Rat20\CSV\Thermal_108_CSV.csv
3,Rat18,96,0.7179524953873664,0.9878964389053841,0.9165667294843242,0.9673468131597575,0.0,data_full\Rat18\CSV\Thermal_96_CSV.csv
3,Rat22,35,0.7184251819082845,0.9807400116395792,0.9195608067788519,0.9733999092147072,0.0,data_full\Rat22\CSV\Thermal_35_CSV.csv
2,Rat17,100,0.718847838965769,0.9872506651492549,0.9278046727004841,0.9603360180133368,0.0,data_full\Rat17\CSV\Thermal_100_CSV.csv
4,Rat19,85,0.7192833204808082,0.9871595461990232,0.6910073196235622,0.9455834661683065,0.253382949932341,data_full\Rat19\CSV\Thermal_85_CSV.csv
5,Rat20,86,0.7221766793150369,0.9806349548772156,0.8757776049766719,0.9045898935961365,0.12770426381012392,data_full\Rat20\CSV\Thermal_86_CSV.csv
2,Rat24,160,0.7224854609907525,0.99417200807797,0.9184735472679966,0.9772962886170433,0.0,data_full\Rat24\CSV\Thermal_160_CSV.csv
2,Rat24,123,0.7226750854148615,0.9863255945555539,0.9452993844432009,0.9590753626606912,0.0,data_full\Rat24\CSV\Thermal_123_CSV.csv
5,Rat20,27,0.722808934420738,0.9878976689348777,0.9312413793103448,0.9720966894377299,0.0,data_full\Rat20\CSV\Thermal_27_CSV.csv
4,Rat23,60,0.7233164237241105,0.9982807517106137,0.9222534222534222,0.9727315209324061,0.0,data_full\Rat23\CSV\Thermal_60_CSV.csv
2,Rat24,112,0.7238567464785717,0.9838198603283029,0.9519588066673744,0.9596483189186094,0.0,data_full\Rat24\CSV\Thermal_112_CSV.csv
5,Rat20,109,0.7243097995869283,0.9730389332455346,0.9449028677150786,0.9792973973871001,0.0,data_full\Rat20\CSV\Thermal_109_CSV.csv
1,Rat10,3,0.7251765101567662,0.9874384142514883,0.855036855036855,0.9272448558457638,0.13098591549295774,data_full\Rat10\CSV\Thermal_3_CSV.csv
4,Rat19,68,0.7261584373789933,0.9870992780626637,0.7901819356227796,0.8832053786398946,0.24414715719063546,data_full\Rat19\CSV\Thermal_68_CSV.csv
3,Rat18,94,0.7270447904965043,0.9865899954504433,0.7281217571774472,0.9599717383624555,0.233495670995671,data_full\Rat18\CSV\Thermal_94_CSV.csv
3,Rat22,34,0.7273462995717674,0.9863201300832638,0.9435766656040804,0.9794884025997257,0.0,data_full\Rat22\CSV\Thermal_34_CSV.csv
2,Rat24,16,0.7278330052997924,0.9778912502435492,0.86198640716713,0.9354825080277167,0.13597185576077397,data_full\Rat24\CSV\Thermal_16_CSV.csv
5,Rat20,102,0.7278506984822496,0.9905343384784797,0.2521489971346705,0.906964520367937,0.7617549379479112,data_full\Rat20\CSV\Thermal_102_CSV.csv
5,Rat20,93,0.728477358160805,0.9916495662966822,0.9312344656172328,0.9450483892350524,0.04597701149425287,data_full\Rat20\CSV\Thermal_93_CSV.csv
1,Rat16,21,0.7292705724807034,0.9783352717628844,0.8954598033545402,0.9491989550218753,0.09408825978351373,data_full\Rat16\CSV\Thermal_21_CSV.csv
5,Rat21,26,0.7321178343872823,0.9825217434219268,0.9006868131868132,0.9552679382379655,0.08999484270242393,data_full\Rat21\CSV\Thermal_26_CSV.csv
5,Rat5,7,0.7326237677030581,0.9906975903396663,0.8219015615734335,0.9107530617562755,0.20714285714285716,data_full\Rat5\CSV\Thermal_7_CSV.csv
4,Rat4,9,0.7329948713001764,0.9791659717048617,0.6007496994129712,0.7400846474162058,0.6119791666666666,data_full\Rat4\CSV\Thermal_9_CSV.csv
3,Rat1,10,0.7340028187244516,0.9857332364624788,0.5747497578301582,0.8033442509912084,0.5721840296139609,data_full\Rat1\CSV\Thermal_10_CSV.csv
3,Rat22,114,0.7350065301963595,0.9894229244235664,0.9654399021306963,0.9851632942311752,0.0,data_full\Rat22\CSV\Thermal_114_CSV.csv
4,Rat19,28,0.7351291598608284,0.9892238896249784,0.9695359930615784,0.9817567567567568,0.0,data_full\Rat19\CSV\Thermal_28_CSV.csv
4,Rat23,49,0.7351567337756147,0.9893803908016185,0.9179057059346803,0.9616967961338823,0.07164404223227752,data_full\Rat23\CSV\Thermal_49_CSV.csv
4,Rat19,20,0.735738942683609,0.973613255423983,0.8905460668751504,0.9420139313210314,0.13678251711427067,data_full\Rat19\CSV\Thermal_20_CSV.csv
2,Rat17,91,0.7360091330085043,0.993126887126367,0.9733715690290864,0.9748441103613222,0.0026939655172413795,data_full\Rat17\CSV\Thermal_91_CSV.csv
2,Rat17,10,0.7365895192592028,0.9820640347021148,0.8637326429748176,0.9375772558714462,0.16298414348843254,data_full\Rat17\CSV\Thermal_10_CSV.csv
